no;testno;brand;model;power_l;matt;dim;color_l;lm_l;eq_l;ra_l;u;pf_l;angle_l;life;war;prod;w;d;h;t;barcode;plant;importer;base;shape;type;type2;url;shop;rub;usd;p;pf;lm;color;cri;r9;Rf;Rg;Duv;flicker230;flicker220;flicker207;flicker;angle;switch;umin;drv;tmax;date;instruments;add2;add3;add4;add5;cqs;eq;rating;lamp_image;lamp_desc
1;1;GE;Classic A50-SH/60W-ES-CL-179294;60;0;0.1;2700;710;60;;230;;;1000;;;;50;88;;0043168179294;;;E27;Bulb;STD;;;;10;;60;100;642;2718;98.6;99;;;;16;;;16;306;1;;;;24.01.2016;1111100000;;;;;;;4.7;00001-ge-classic-a50-sh-60w-es-cl-179294;Bulb 710Lm 60W 2700K E27
2;2;IKEA;202.225.52 E27 LED1207G11;10;1;20;2700;600;60;;220-240;;;25000;24;0613;;60;120;;20222552222789;;Икеа;E27;Bulb;LED;;;;299;;9.8;97;586;2741;92.5;67;;;;20;;;20;224;1;;;;04.02.2014;1111100000;;1;;без упак;;60;3.5;00002-ikea-20222552-e27-led1207g11;Bulb 600Lm 10W 2700K M E27
3;3;IKEA;402.540.90 E14 LED1216C6;7;1;0;2700;400;40;;220-240;;;25000;24;;;42;113;;40254090216339;;Икеа;E14;Candle;LED;;;;249;;6.8;84;472;2756;89.6;51;;;;63;;;63;223;1;;;;04.02.2014;1111100000;;5;;;;50;1.0;00003-ikea-40254090-e14-led1216c6;Candle 400Lm 7W 2700K M E14
4;4;Thomson;TL-A601027EV;10;1;0;2700;806;90;;220-240;;;25000;;;;60;120;;2071473968010;;;E27;Bulb;LED;;http://thomson-led.com;;440;;10;93;776;2749;81.3;17;;;;32;;;32;227;1;94;3;;04.02.2014;1111100000;;1;;;;75;3.0;00004-thomson-tl-a601027ev;Bulb 806Lm 10W 2700K M E27
5;5;Thomson;TL-CD0730EV;6.7;1;0;3000;480;60;;220-240;;;25000;;;;38;132;;2071473968010;;;E14;Candle;LED;;http://thomson-led.com;;270;;6.5;55;525;3125;81.7;19;;;;1;;;1;159;1;134;2;;04.02.2014;1111100000;;2;;;;55;4.5;00005-thomson-tl-cd0730ev;Candle 480Lm 6.7W 3000K M E14
6;6;Civilight;Omni A60 8716;11;1;0;2700;806;60;;220-240;;;25000;;;;62;123;;6942379987169;;;E27;Bulb;LED;;;;714;;10;88;682;2741;91.4;95;;;;17;;;17;299;1;;;;25.01.2016;1111100000;;;;;;70;4.6;00006-civilight-omni-a60-8716;Bulb 806Lm 11W 2700K M E27
7;7;Civilight;Dclear C37 8764;6.4;0;1;2700;400;40;;220-240;;;25000;;;;37;117;;6942379987640;;;E14;Candle;LED;;;;640;;6.2;65;422;2842;80.1;2;;;;11;;;11;102;1;;;;04.02.2014;1111100000;;6;;4 в люстре 1 в диммируемых;;50;4.5;00007-civilight-dclear-c37-8764;Candle 400Lm 6.4W 2700K D E14
8;8;Flexled;LED-E27-7W-WW;7;1;0;2700;485;50;80;220;;;40000;;;72;55;107;;4620009783658;;;E27;Bulb;LED;;http://fcenter.ru/product/goods/116596;;390;;7;56;512;2741;84.6;24;;;;0.3;;;0.3;246;1;113;2;;04.02.2014;1111100000;;;;;;55;4.5;00008-flexled-led-e27-7w-ww;Bulb 485Lm 7W 2700K M E27
9;9;Navigator;NLL-A60-11-230-2.7K-E27;11;1;0;2700;825;75;82;170-260;;;40000;24;1013;110;60;120;;4607136943841;;;E27;Bulb;LED;;;;290;;11;83;903;2754;82;11;;;;3;;;3;190;1;69;1;;29.07.2014;1111100000;;3;;;;85;4.5;00009-navigator-nll-a60-11-230-27k-e27;Bulb 825Lm 11W 2700K M E27
10;10;Navigator;NLL-A60-10-230-2.7K-E27;10;1;0;2700;750;75;82;170-260;;;30000;24;1113;58;60;110;;4607136943872;;;E27;Bulb;LED;;;;193;;11;49;800;2743;81.5;0;;;;1;;;1;230;1;112;1;;29.07.2014;1111100000;;2;;;;75;4.5;00010-navigator-nll-a60-10-230-27k-e27;Bulb 750Lm 10W 2700K M E27
11;11;Navigator;NLL-A55-8-230-2.7K-E27;8;1;0;2700;600;60;;170-260;;;40000;24;;;55;106;;4607136942677;;;E27;Bulb;LED;;;;195;;7.9;77;612;2882;81.8;12;;;;2;;;2;188;1;;;;29.07.2014;1111100000;;;;;;65;4.5;00011-navigator-nll-a55-8-230-27k-e27;Bulb 600Lm 8W 2700K M E27
